Composition (A.M.%);S-to-L Ratio (%);Comma gap (µm);Viscosity (Pas);Mass Loading (mg cm-2) ;Porosity (%);
94;63,006833712984;300;6,13;32,9210734105212;49,6823183979678;
94;63,006833712984;300;6,13;32,6378204665718;49,8086460686253;
94;63,006833712984;300;6,13;31,4339954547868;50,4415204048006;
94;63,006833712984;300;6,13;32,4253807586097;49,8269641965296;
94;63,006833712984;300;6,13;32,5670072305844;49,3257743393646;
94;63,006833712984;300;6,13;31,5048086907741;49,6959252701809;
94;63,006833712984;400;7,4;41,3478484930164;49,3119917276417;
94;63,006833712984;400;7,4;41,6311014369658;49,0894736949837;
94;63,006833712984;400;7,4;42,3392337968394;49,4827292987537;
94;63,006833712984;400;7,4;41,4186617290038;49,3740093463955;
94;63,006833712984;400;7,4;42,1267940888773;49,0066847080898;
94;63,006833712984;400;7,4;41,7019146729532;48,9279907958353;
94;63,006833712984;400;7,4;41,6311014369658;49,0894736949837;
94;63,006833712984;400;7,4;41,8435411449279;48,8296819295218;
94;64,9032275031888;100;3,85;14,4533367646151;50,9350923622591;
94;64,9032275031888;100;3,85;14,240891834219;50,7882314051927;
94;64,9032275031888;100;3,85;13,9576319270242;51,6334739046984;
94;64,9032275031888;100;3,85;14,1700768574203;50,6924223822221;
94;64,9032275031888;100;3,85;14,5241517414138;50,7615053055918;
94;64,9032275031888;100;3,85;14,5949667182125;51,4425781383891;
94;64,9032275031888;100;3,85;14,3117068110177;50,5435184832891;
94;64,9032275031888;100;3,85;14,7365966718099;51,295210632962;
94;64,9032275031888;200;5,85;24,5090634700308;50,8265573343409;
94;64,9032275031888;200;5,85;24,933953330823;50,8025899551845;
94;64,9032275031888;200;5,85;25,0047683076217;51,0871867925847;
94;64,9032275031888;200;5,85;25,1463982612191;50,8869380146756;
94;64,9032275031888;200;5,85;24,7923233772256;50,8494678083125;
94;64,9032275031888;200;5,85;24,933953330823;50,8413585998219;
94;64,9032275031888;200;5,85;25,0047683076217;51,0105809770679;
94;64,9032275031888;200;5,85;25,0047683076217;50,8180125060659;
94;64,9032275031888;300;7,63;35,2021249666348;48,6758283926209;
94;64,9032275031888;300;7,63;34,6356051522451;49,0864270066997;
94;64,9032275031888;300;7,63;33,715010453862;49,2468933732607;
94;64,9032275031888;300;7,63;34,1399003146542;49,2183732780085;
94;64,9032275031888;300;7,63;33,5733805002646;48,844507367403;
94;64,9032275031888;300;7,63;34,5647901754464;49,4873077808768;
94;64,9032275031888;300;7,63;34,7772351058425;49,2953114536635;
94;64,9032275031888;300;7,63;34,8480500826412;49,369095411747;
94;64,9032275031888;400;9,17;44,6205168808621;48,8376832473874;
